	GSM279601	GSM279602	GSM279603	GSM279604	GSM279605	GSM279606	GSM279607	GSM279608	GSM279609	GSM279610	GSM279611	GSM279612
1405_i_at	1236	1117.9	928.31	1918.2	2066.5	2204.8	3845	2943.2	3080.7	1886.1	1916.7	1897.4	
1552390_a_at	158.33	107	171.04	48.748	35.035	77.319	2.595	27.477	7.001	24.746	2.93	11.095	
1552623_at	260.07	173.31	207.47	585.18	545.15	673.03	228.53	412.39	387.06	403.85	349.34	198.7	
1552774_a_at	103.59	78.16	87.565	164.99	147.64	187.72	27.254	122.63	18.067	58.122	70.549	87.307	
1553179_at	30.176	9.969	12.813	6.593	3.732	8.219	18.235	25.802	9.757	3.744	4.052	5.711	
1553196_a_at	309.71	243.26	196.29	509.23	461.09	560.78	101.44	31.276	172.24	160.33	294.74	360.65	
1553830_s_at	152.03	107.88	155.85	316.12	358.59	380.54	1459.1	1194.7	1568.6	734.54	668.89	710.53	
1554161_at	119.14	96.355	55.925	202.11	174.67	274.43	80.689	71.245	26.267	128.24	122.3	110.99	
1554300_a_at	260.03	250.1	241.29	27.022	135.49	42.926	64.997	44.499	20.084	81.164	19.447	58.822	
1554679_a_at	2800.3	3180.6	2581.3	1310.2	998.92	1029.6	1222.9	1244.8	1180	1305.9	1454.3	1339.3	
1554733_at	50.414	111.57	8.559	249.57	246.35	223.92	549.83	513.74	480.09	341.66	258.09	269.12	
1554892_a_at	4092.1	4373.6	4325.1	2558.6	2116.6	2192.5	4228.1	4440.6	3466.3	4496.6	4510.3	4037.2	
1554899_s_at	2124.5	2222.8	1701.5	1174.6	951.58	1087.4	1794.1	1719.7	1718.9	2024.3	2089.9	1936.7	
1555613_a_at	1136.2	1060.4	1141.7	341.29	350.68	357.15	162.41	188.56	135.31	98.903	135.87	27.796	
1555756_a_at	74.647	46.567	35.952	156.87	107.06	161.62	61.606	53.865	53.609	50.205	95.157	114.52	
1555800_at	2.825	3.206	3.281	6.282	6.287	5.557	2.62	5.061	3.457	4.964	5.952	8.558	
1555935_s_at	465.13	352.42	438.88	72.267	182.84	105.24	34.356	21.421	163.16	26.968	40.289	115.53	
1556037_s_at	1565.1	1426.9	1288.9	407.18	315.55	440.76	99.28	110.2	14.688	25.287	71.32	69.943	
1556095_at	373.62	361.52	262.43	1175.6	999.82	1103.6	2214	2350.6	1999.8	1206.3	1477.8	1337	
1556096_s_at	445.97	441.6	378.08	1656.6	1544.5	1505.4	3027.1	3379.5	2843.3	1912	2112.6	2019.7	
