	GSM279589	GSM279590	GSM279591	GSM279592	GSM279593	GSM279594	GSM279595	GSM279596	GSM279597	GSM279598	GSM279599	GSM279600
1405_i_at	4.676	4.138	16.367	10322	7629	6825.3	42.629	11.586	58.914	1427.3	963.27	972.69
1552390_a_at	522.24	454.04	360.51	10.372	8.654	28.297	7.608	6.165	11.872	6.422	46.199	10.154
1552623_at	8.47	3.993	9.409	888.88	342.22	518.86	1712.3	1595.2	1605.4	110.31	57.471	8.975
1552774_a_at	5.734	13.889	8.799	8.03	7.894	8.186	464.31	410.24	402.86	6.272	5.536	8.492
1553179_at	278.75	158.32	246.91	11.281	6.376	3.625	3.564	20.368	11.141	2.906	3.253	3.664
1553196_a_at	12.482	6.896	11.854	5.881	14.251	13.361	1180.3	1173.9	1074.3	13.746	19.622	6.508
1553830_s_at	86.763	58.634	116.33	2333.6	3070.9	3287.6	6.819	1.625	3.028	388.61	19.571	123.2
1554161_at	13.277	59.481	48.063	40.243	54.579	2.006	556.53	380.79	569.57	2.618	37.636	32.807
1554300_a_at	694.52	549.45	767.74	8.83	14.482	24.418	3.58	49.393	21.836	19.42	12.936	13.809
1554679_a_at	4594.4	6219.9	4834.8	47.601	54.822	43.323	28.942	38.357	37.799	2676.4	2945.6	2786
1554733_at	54.796	36.537	16.818	2032.2	1492	1230.1	2.108	2.535	48.127	130.87	2.58	56.013
1554892_a_at	30.337	34.668	47.952	49.006	25.073	81.082	72.714	40.812	32.391	6296.4	8210	7975.6
1554899_s_at	30.476	38.72	10.644	95.273	22.643	35.816	22.905	45.302	39.602	5444.5	5418.4	5287
1555613_a_at	4232.2	3161.7	3863.3	12.668	8.102	22.476	128.65	44.042	83.274	72.873	90.235	18.565
1555756_a_at	3.99	0.426	6.7	11.896	11.449	2.681	396.99	278.27	285.78	58.653	59.062	6.947
1555800_at	3.502	5.03	6.4	3.397	3.597	2.878	89.415	85.607	94.501	2.838	2.558	3.437
1555935_s_at	1383.1	1345.5	1590.8	18.015	15.757	28.158	30.366	19.072	15.673	33.401	21.792	37.762
1556037_s_at	3005.8	5168.3	4356.8	7.776	4.579	2.978	54.189	7.249	2.791	31.848	10.099	42.162
1556095_at	62.081	38.439	22.94	4684.4	4744.4	4892.4	2.313	3.654	11.651	400.54	5.924	112.28
1556096_s_at	81.063	87.767	86.18	6722.7	6471.6	6331.8	3.016	4.695	30.735	719.77	7.607	259.83
1556395_at	1442.9	2356.6	1713.2	2.793	6.933	2.625	3.574	2.427	3.582	2.975	1.539	5.692
1556598_at	1030.3	907.04	827.89	22.495	16.017	2.037	1.035	2.171	11.198	2.189	1.296	1.331
1556599_s_at	2340.4	3061.6	1830.3	44.999	20.451	58.025	28.162	36.424	38.296	19.994	51.962	60.016
1557177_at	6.489	28.49	6.164	162.57	73.247	53.168	848.1	833.86	538.59	2.208	43.937	17.435
1557919_a_at	183.74	93.235	186.91	125.95	161.35	159.19	84.202	135.39	162.35	16148	16472	16694
1558826_at	54.096	3.074	6.855	8.241	13.87	1.667	332.79	250.8	220.46	10.121	24.637	2.48
1558856_at	141.42	105.78	80.234	51.402	144.5	89.51	56.723	18.322	23.712	4198.8	4764.1	4597.3
1558971_at	1245.7	2126.6	1471.5	41.931	33.628	11.449	6.384	45.224	17.093	17.82	34.317	71.21
1558972_s_at	1157.6	1827.1	1239.7	18.445	27.27	2.218	14.834	26.264	17.872	30.626	6.132	3.191
1559827_at	2.382	2.103	2.63	213.92	133.2	178.3	3.015	2.952	2.163	874.34	1230.5	1148.9
1562054_at	59.629	4.558	13.841	410.4	541.7	532.21	6.233	4.762	2.629	14.711	1.529	1.779
1562484_at	10.402	16.771	42.368	2.12	7.947	4.101	9.327	25.941	6.288	553.15	751.45	731.26
1565162_s_at	2.409	3.208	0.863	6191.1	6391.3	6718.3	2.715	16.887	2.537	4770.2	5359.6	4578.3
1565627_a_at	10.128	32.853	18.979	98.537	68.941	131.3	1571	1942.8	1487.8	80.865	182.3	224.09
1568751_at	2.361	1.403	46.686	0.36	20.685	26.502	118.29	96.58	133.17	0.237	0.115	25.016
1568752_s_at	33.84	7.232	34.088	32.607	8.573	7.735	9367.9	7799.7	8111.1	23.186	124.27	8.498
1569034_a_at	11.46	8.188	10.435	4.254	8.712	8.746	584.64	732.36	520.42	20.186	11.759	13.081
1569040_s_at	1.563	3.586	20.019	2.163	3.492	2.77	1610	1291.4	937.1	2.886	60.295	13.433
1569454_a_at	19.737	91.059	42.762	3998.1	2194.1	2239.1	32.516	15.848	18.959	143.75	55.072	74.559
1569886_a_at	1958.1	2429.4	2063.9	510.07	472.94	419.06	5.923	5.276	23.999	78.761	20.463	4.479
1569969_a_at	62.825	29.837	36.562	4404.2	6027.3	5861	39.569	11.803	1.333	518.2	20.686	217.46
200660_at	13.868	4.703	15.206	7.419	55.739	6.226	10.348	17.708	6.808	8748.2	11319	10256
200907_s_at	618.4	478.19	375.7	8.027	26.72	50.035	1158	1366.1	1548.9	38.711	8.286	12.188
200951_s_at	120.64	116.93	140.74	2222.3	2600.7	2369.2	14.691	11.636	8.521	432.11	6.181	170.25
200953_s_at	975.1	826.62	936.31	11482	13838	14421	51.392	117.85	162.97	1658.2	87.754	736.96
201058_s_at	15.126	6.147	5.493	9.71	21.874	17.564	6.312	13.749	8.736	1574.6	1563.2	1363.1
201105_at	478.73	336.71	341.11	17991	17522	17171	22.638	17.215	11.309	31766	24400	26626
201117_s_at	7.886	2.097	2.85	4.059	2.091	6.323	0.721	1.206	1.217	257.11	402.51	267.08
201131_s_at	5.032	5.845	8.863	1691.5	416.42	414.37	24.696	2.833	5.606	24.058	14.234	4.693
201137_s_at	35.319	57.758	91.151	9578.1	7111.8	7071.3	20140	21465	21529	819.5	364.33	307.82
201162_at	11.494	8.531	12.39	10.281	11.277	11.132	9.302	11.454	10.595	9300.7	7353.1	7704.4
201163_s_at	5.386	3.815	4.757	9.886	13.672	42.532	2.727	11.739	3.919	8406.9	8706.3	8876.4
201169_s_at	35.458	12.048	17.505	620.88	621.48	544.21	4.414	35.607	5.989	6.48	84.975	69.373
201215_at	39.68	25.733	50.539	4166.8	6029	5660.2	32.103	3.772	21.925	2146.9	2057.7	2050.6
201313_at	1944.3	2276.6	2182	3146	2383.6	2084.2	5.118	56.159	5.201	116.65	3.846	5.733
201387_s_at	43.372	33.393	30.222	4157.4	5192.1	5618	13517	13988	13113	817.92	291.72	478.78
201416_at	9522.4	9743.2	10556	316	192.96	203.12	258.67	208	233.27	281.16	206.03	178.43
201506_at	23.107	18.259	27.605	14.079	29.583	13.497	19.676	27.964	51.725	6602.6	7973.5	6873.3
201579_at	4920.1	5615.5	5399.3	69.823	117.58	83.209	63.272	8.345	90.239	1407	2109.8	1756.6
201670_s_at	278.93	231.8	297.43	5009.6	6606.9	6567	8.382	19.979	16.899	978.3	1648	1655.5
201909_at	161.95	59.123	26.59	165.16	114.14	146.73	22197	22729	18588	21981	20579	21717
202007_at	33.804	1.898	14.03	1824.8	2017.4	1918.7	0.972	3.287	1.683	5126.8	6567.9	5616.2
202177_at	8.79	5.363	9.915	5.797	6.669	7.645	10.172	28.627	6.515	921.99	1106.5	990.66
202178_at	26.631	19.611	19.691	11.124	10.238	10.147	1033.3	1182.4	817.85	402.55	392.07	444.18
202207_at	1750.5	2654	2576.4	61.694	10.707	38.067	6.085	58.21	9.324	72.671	76.298	139.53
202242_at	6999.8	8378.6	7795.2	201.89	170.65	265.3	18.765	14.899	43.044	66.877	26.33	92.73
202283_at	422.72	366.67	395.65	11.631	17.664	6.194	93.506	76.185	29.729	4334.3	4205.3	4274.7
202615_at	9296.2	10160	9973.9	379.33	364.12	462.63	44.421	5.624	29.573	3362.3	3464.3	3249.8
202620_s_at	45.968	30.671	13.567	1888.7	1592.4	1423.2	13.227	5.427	28.937	381.27	383.17	364.18
202718_at	6483.5	5081.3	6246.5	19.757	59.48	53.998	7.807	10.81	12.098	2439.6	2221	2164.6
202728_s_at	38.952	16.49	35.101	10.909	12.383	7.408	307.04	424.18	281.85	11.284	6.951	13.412
202746_at	9389.6	13693	11808	4327.1	3877.8	4016.5	21.962	52.797	20.352	338.35	99.588	161.94
202747_s_at	8594.1	10135	10539	2758.1	2588.3	2507.4	34.536	44.063	32.191	694.37	74.941	104.18
202888_s_at	21.6	6.622	12.324	17.492	9.617	6.944	14.146	11.908	15.304	2469.5	2747.3	2089.3
202897_at	10.872	6.592	17.914	7.724	17.274	8.133	6.196	11.075	6.589	1226.6	1244.3	1209.9
202917_s_at	102.06	43.117	65.041	9.985	52.335	65.495	7.495	11.148	70.739	4864.3	5853.7	5199.6
202935_s_at	86.434	8.644	8.923	1163.5	1165.9	1152.2	3.796	6.471	49.924	63.014	28.241	59.881
202936_s_at	30.292	51.114	59.952	1273	1164.8	1386.5	10.856	22.206	44.016	33.03	13.89	65.902
203132_at	6314.6	8475.4	6817.6	0.798	5.817	5.51	2718.1	2441	2913.2	1751.2	2590	2222.9
