	Jurkat	IM-9	Raji	THP-1
1007_s_at	341.733666666667	339.022333333333	1444.00966666667	209.610333333333
1053_at	1997.54133333333	2376.97566666667	903.096666666667	1488.56033333333
117_at	153.566666666667	325.023	173.648666666667	201.922333333333
121_at	1643.724	1545.44933333333	1717.43	1715.75066666667
1255_g_at	30.6316666666667	29.2296666666667	50.077	31.8156666666667
1294_at	174.691333333333	589.288666666667	229.479666666667	1075.02666666667
1316_at	99.7213333333333	65.2966666666667	74.909	94.368
1320_at	11.9656666666667	13.1286666666667	8.044	16.855
1405_i_at	8.39366666666667	8258.73933333333	37.7096666666667	1121.09866666667
1431_at	71.6363333333333	53.6853333333333	655.644	63.25
1438_at	50.5726666666667	61.0736666666667	64.1963333333333	131.099
1487_at	727.549	1104.058	2592.49266666667	1006.70866666667
1494_f_at	154.102333333333	180.393666666667	191.009	214.392
1552256_a_at	1893.876	5286.052	4985.96466666667	5449.791
1552257_a_at	3326.94966666667	4051.09466666667	3776.22933333333	2970.55533333333
1552258_at	98.0813333333333	136.747333333333	144.188333333333	226.400333333333
1552261_at	99.6616666666667	103.500333333333	105.894	112.187666666667
1552263_at	750.605666666667	634.564	379.724	1137.06966666667
1552264_a_at	1374.353	978.892	744.995333333333	1688.608
1552266_at	106.455666666667	44.9583333333333	36.1243333333333	82.066
1552269_at	6.93733333333333	6.508	3.76133333333333	18.6376666666667
1552271_at	228.416333333333	27.634	20.8466666666667	34.3823333333333
1552272_a_at	616.568	268.933666666667	135.903333333333	173.501666666667
1552274_at	868.669333333333	498.914	1728.303	1864.489
1552275_s_at	1030.91366666667	532.766333333333	1884.209	2515.30766666667
1552276_a_at	114.076	91.5566666666667	123.927	140.726
1552277_a_at	1263.80633333333	1062.28766666667	930.023333333333	1145.228
1552278_a_at	61.386	84.9753333333333	37.117	101.703
1552279_a_at	291.470333333333	287.791	207.644333333333	394.195
1552280_at	48.6713333333333	541.123	66.0986666666667	83.4776666666667
1552281_at	199.241	197.293333333333	189.921333333333	254.834
1552283_s_at	245.327666666667	100.010333333333	196.515666666667	157.546666666667
1552286_at	294.288666666667	288.230333333333	229.199	323.012333333333
1552287_s_at	765.603	660.005333333333	606.913	504.735666666667
1552288_at	15.1873333333333	38.2866666666667	40.2883333333333	26.4383333333333
1552289_a_at	103.435	45.7843333333333	20.2106666666667	93.801
1552291_at	1104.132	1029.43133333333	844.308333333333	706.172666666667
1552293_at	29.9326666666667	33.4746666666667	29.8823333333333	32.3763333333333
1552295_a_at	1136.08166666667	728.434333333333	681.100333333333	1034.957
1552296_at	8.471	10.3636666666667	11.072	7.48266666666667
1552299_at	228.533666666667	119.808333333333	148.253	114.525
1552301_a_at	218.389666666667	192.141666666667	202.246333333333	294.929333333333
1552302_at	92.4723333333333	222.523333333333	77.7406666666667	79.7766666666667
1552303_a_at	192.810333333333	376.551333333333	173.482333333333	253.33
1552304_at	177.597666666667	141.815333333333	129.024	116.418333333333
1552306_at	329.060333333333	350.644	191.473666666667	206.598666666667
1552307_a_at	244.066	639.79	166.636333333333	551.239333333333
1552309_a_at	59.951	165.286333333333	8.81066666666667	136.104333333333
1552310_at	1247.83333333333	1464.818	1030.278	595.833333333333
1552311_a_at	62.1986666666667	84.495	106.498333333333	69.7546666666667
1552312_a_at	475.746666666667	354.256333333333	390.281333333333	297.680333333333
1552314_a_at	115.993666666667	150.356	240.037333333333	96.992
1552315_at	283.790666666667	51.97	39.2446666666667	145.69
1552316_a_at	550.901333333333	84.0196666666667	8.38533333333333	172.59
1552318_at	362.931666666667	65.4416666666667	19.8653333333333	42.624
1552319_a_at	102.238333333333	136.350333333333	84.5316666666667	157.576333333333
1552320_a_at	43.9343333333333	21.0466666666667	14.7023333333333	21.982
1552321_a_at	23.2396666666667	8.78733333333333	11.188	6.53333333333333
1552322_at	37.2483333333333	45.001	38.4873333333333	49.1703333333333
1552323_s_at	71.1816666666667	117.239333333333	105.755666666667	110.351666666667
1552325_at	25.239	37.868	28.4386666666667	29.5116666666667
1552326_a_at	154.277666666667	19.075	18.0253333333333	34.6123333333333
1552327_at	24.462	21.8616666666667	14.4743333333333	13.2523333333333
1552329_at	361.962333333333	279.645333333333	244.144333333333	158.274666666667
1552330_at	456.583	309.935333333333	382.734666666667	631.826
1552332_at	168.463333333333	182.656	53.0533333333333	102.9
1552334_at	213.407333333333	136.618333333333	142.022333333333	256.2
1552335_at	110.679333333333	35.1363333333333	73.376	461.378666666667
1552337_s_at	16.277	18.2316666666667	27.0113333333333	10.692
1552338_at	22.4643333333333	4.971	4.636	6.33066666666667
1552340_at	25.2156666666667	22.817	17.7176666666667	25.2876666666667
1552343_s_at	104.179666666667	126.212333333333	170.104666666667	146.225
1552344_s_at	882.269	493.818333333333	681.353	944.218333333333
1552347_at	489.377333333333	387.822333333333	484.930333333333	431.271
1552348_at	73.9286666666667	107.450666666667	180.132	207.233333333333
1552349_a_at	79.4643333333333	63.3266666666667	48.5726666666667	79.7096666666667
1552354_at	23.0996666666667	6.59933333333333	7.74566666666667	20.5116666666667
1552355_s_at	19.893	14.5063333333333	14.6593333333333	25.113
1552359_at	44.7636666666667	30.6783333333333	52.553	73.1653333333333
1552360_a_at	265.829	254.289	43.8966666666667	400.323333333333
1552362_a_at	399.646333333333	247.442666666667	218.798666666667	213.986
1552364_s_at	226.344333333333	130.535333333333	209.988666666667	99.652
1552365_at	3.619	46.967	2.83666666666667	284.632333333333
1552367_a_at	3.78833333333333	26.042	3.799	96.7603333333333
1552368_at	61.925	46.389	37.3233333333333	28.6293333333333
1552370_at	506.124	341.974666666667	205.255	311.564333333333
1552372_at	18.1476666666667	12.059	29.8426666666667	27.5323333333333
1552373_s_at	41.342	15.1336666666667	12.8273333333333	15.144
1552375_at	47.429	86.1213333333333	78.047	69.885
1552377_s_at	333.877666666667	143.487333333333	224.047666666667	361.413333333333
1552378_s_at	106.106666666667	141.395	103.374333333333	99.963
1552379_at	5.191	8.83533333333333	17.3236666666667	22.7426666666667
1552381_at	21.7726666666667	17.4723333333333	13.0933333333333	60.4973333333333
1552383_at	96.0726666666667	250.847666666667	161.126	160.408333333333
1552384_a_at	31.9616666666667	86.0686666666667	79.7096666666667	95.2036666666667
1552386_at	33.4313333333333	37.8006666666667	129.147333333333	2106.04733333333
1552388_at	98.7796666666667	69.018	40.5143333333333	330.961666666667
1552389_at	178.903333333333	25.2363333333333	33.2313333333333	29.1693333333333
1552390_a_at	445.598666666667	15.7743333333333	8.54833333333333	20.925
1552391_at	87.8503333333333	131.362	86.8133333333333	97.9963333333333
1552393_at	35.924	30.1583333333333	32.2543333333333	10.768
1552394_a_at	17.6763333333333	35.226	8.558	11.93
1552395_at	34.153	34.909	37.067	28.833
1552396_at	32.3763333333333	45.767	38.0936666666667	46.4696666666667
1552398_a_at	26.7373333333333	33.0236666666667	15.9523333333333	162.744666666667
1552399_a_at	103.865666666667	100.665	51.045	138.084666666667
1552400_a_at	154.077	150.739333333333	157.546333333333	156.259333333333
