	Jurkat	IM-9	Raji	THP-1
1405_i_at	4.9997958429	7555.7429292341	51.6015846868	976.2501957862
1552390_a_at	448.1535777235	10.6325124437	8.9656337985	9.1335619224
1552623_at	7.2571417286	524.9423940697	1600.5494328086	56.4455309832
1552774_a_at	8.4941687192	8.202436336	443.0702658476	5.7481645718
1553179_at	230.333387488	5.4125340171	12.0315065118	3.3672538128
1553196_a_at	10.6239181568	13.5584350284	1190.3046064226	11.9535415358
1553830_s_at	72.6538460905	3057.4685689242	3.1607032877	108.8976818358
1554161_at	43.4658861319	41.1839752151	585.9057848394	28.374994969
1554300_a_at	653.7835101394	14.3837341151	24.2246048108	12.7635118728
1554679_a_at	5077.1651452014	48.4570397786	42.3642305467	2849.0167780641
1554733_at	40.7021263599	1479.4096059435	2.7487653265	48.9058114126
1554892_a_at	38.6257396018	49.9500747399	45.1961731772	7920.7289483052
1554899_s_at	25.4345226052	36.0154770564	44.3156599631	5386.6895881846
1555613_a_at	3950.6413088128	13.0875081637	90.7299926746	62.9690334569
1555756_a_at	3.5178511279	11.0699906029	310.1277568726	50.5895825286
1555800_at	6.0243631044	2.8271195851	102.8284421936	2.6454410069
1555935_s_at	1352.8331141414	18.7787443458	20.7752221774	28.1302254835
1556037_s_at	4513.0318087046	3.510832401	7.5949083808	26.7996359688
1556095_at	42.7603002444	4787.9332708331	3.9389064096	99.2536253201
1556096_s_at	79.1822721373	6399.8314693368	4.9045165766	241.7530266676
1556395_at	1704.4558946034	2.8774216366	3.8029592731	2.7869273975
1556598_at	882.296960186	16.0539771056	2.3232325041	1.3304647812
1556599_s_at	2405.0715293943	45.8586046628	40.3102962398	51.1229847691
1557177_at	6.0491169426	77.2718566871	865.1611599048	15.2498454864
1557919_a_at	158.0480063189	158.3533200874	148.3281287629	16380.608911069
1558826_at	6.744220388	8.4070464234	276.4574217808	8.9831407099
1558856_at	115.3703234216	89.4559146529	26.3457124523	4712.0071160542
1558971_at	1451.2941241896	36.0118614637	18.6719176265	32.7020474531
1558972_s_at	1217.1282622685	19.2225788492	19.5793463005	6.2415749946
1559827_at	2.5240143323	177.2373780242	3.18086604	1168.2990603742
1562054_at	13.0447063969	536.364274124	4.9735261378	1.7068127047
1562484_at	19.6278793982	4.1271854968	11.1210545472	731.0194271363
1565162_s_at	2.1556847733	6295.5016776871	3.2894182687	4882.6725480518
1565627_a_at	17.6411675688	100.714443236	1557.1699084511	181.2026298162
1568751_at	2.0894754247	21.4412398689	139.9275482185	1.0226271341
1568752_s_at	28.201684294	7.8648760127	7581.4629463823	19.5288542537
1569034_a_at	9.8145429221	8.00902972	616.3961769604	11.6086802541
1569040_s_at	4.3338397248	2.334498165	1307.4656573506	11.8107889446
1569454_a_at	38.753917717	2249.1067847857	20.7752221774	65.7320378887
1569886_a_at	2065.6467737233	477.9450170684	6.9018756697	19.7418917176
1569969_a_at	33.5678056642	5793.0549178125	12.5351621375	198.6354043602
200660_at	11.6792409635	7.561210472	12.3958493447	10316.3298569131
200907_s_at	470.3118799619	28.2206344665	1388.5875339565	10.773515888
200951_s_at	127.064501161	2368.9246014314	12.3279128876	153.4556850499
200953_s_at	908.2132932381	13702.7319343305	129.0051944275	736.2318156012
201058_s_at	7.407806483	17.8995176362	9.3200009564	1570.1737461355
201105_at	337.1118690293	17377.6379328465	18.7003211382	26045.1457878848
201117_s_at	2.8797170449	4.1506529961	1.2611987021	249.2577143892
201131_s_at	7.0628175258	418.8661211912	5.941802024	13.9815166816
201137_s_at	64.1035233184	7025.3870173511	17911.5370261514	360.7875034212
201162_at	10.193384761	10.870255311	11.3863534066	7650.047353422
201163_s_at	4.6840346623	13.5104611115	4.1632527259	8687.3060357981
201169_s_at	16.4241312851	602.0499622679	6.3805344846	61.1714687769
201215_at	33.0823738499	5560.6011226078	24.3345920835	2104.6355859138
201313_at	2184.4352525599	2364.6816169528	5.9522950822	5.3297136086
201387_s_at	36.0154770564	5097.1398312848	12158.2204856799	468.8610109188
201416_at	11303.6147468837	202.5667151776	256.2165572582	204.5954109832
201506_at	21.3431037601	14.6581152752	30.8109705065	6900.2573676217
201579_at	5689.5696591104	83.3428341226	75.6323834246	1792.7069638394
201670_s_at	248.1844118021	6521.0971804323	18.4556002822	1657.8932103859
201909_at	65.6126368259	146.2753663337	18922.838624152	21843.3068351618
202007_at	13.2415185454	1917.2670644597	1.781337669	5674.3903654872
202177_at	7.5627025442	5.8783509377	12.1795072343	997.0720892016
202178_at	22.1517281747	10.2267813617	1051.2305474018	390.3287289685
202207_at	2588.0477350284	38.3507603409	9.9544949336	75.5141057928
202242_at	8602.2998536239	201.3038149903	22.9380424467	57.7735145084
202283_at	374.339784685	11.9860639545	83.3686560805	4367.4193684632
202615_at	10850.3321339342	368.5920987153	33.041684388	3452.8896626304
202620_s_at	34.456490478	1591.6284271877	15.9603639913	364.4115457528
202718_at	6757.8530587903	53.8104636913	11.4308217937	2229.9832693543
202728_s_at	31.8553819847	11.2177455581	338.5645228961	10.0186151869
202746_at	13073.1688726385	4001.7631140981	26.8968595347	145.1448947074
202747_s_at	10795.0118206	2567.9856494076	42.3369374475	92.1838638029
202888_s_at	11.7013771748	8.9525063555	16.6266017442	2529.5612804766
202897_at	9.3592856693	8.1503123972	7.235436099	1253.3105847292
202917_s_at	58.8701957017	55.9258563723	11.8370035177	5278.8322876344
202935_s_at	10.3252041741	1154.608295982	6.8232345822	52.4401782346
202936_s_at	54.1492064225	1257.5932549661	24.3777782156	27.8227622345
203132_at	7489.7276040969	4.7917726695	2638.7011183172	2278.7899321546
203140_at	129.6118565984	33.2285559298	7823.7135578416	284.5219473669
203186_s_at	482.2468790101	13.8032442887	18.3959232522	19145.4759989512
203290_at	17.5484262438	174.7500924974	11154.4758165269	15.641325383
203434_s_at	10.1688483585	10.993845264	2829.3763955849	11.6953891421
203435_s_at	27.2962510386	32.3886482724	2325.9598607165	25.6262078229
203440_at	1367.0378088289	8.8522815206	12.4189307318	631.3269293454
203510_at	8.7390701779	27.4844248118	691.0724179318	12.4957420425
203535_at	15.6541430023	27.6059706716	19.2012017139	1672.6499190934
203548_s_at	5.2305925319	60.1389569459	15.5944418938	1070.7897606294
203570_at	223.093900916	4.3703211117	6.8439508282	5.9542196758
203641_s_at	23.4335640791	71.4967301704	1894.9849368986	39.5979504078
203642_s_at	40.9754415823	19.1976462376	2908.4987916532	66.405468189
203695_s_at	319.7738040954	8981.5436115334	100.4851644798	488.0629648979
203716_s_at	8.4654595471	485.5038639874	6.4571376594	11.7394546824
203760_s_at	2828.2270759174	16.6815445396	20.3058113878	934.7910348182
203828_s_at	1194.2890900255	3801.061099034	20.2280994348	17.7315043832
203835_at	12.3841390703	6.2502850319	296.34763538	8.2913475126
203865_s_at	1040.7207357944	10.2354873072	8.7114676272	11.4148271308
203886_s_at	295.3029762918	14.2228241651	8.8821710502	9.5859446274
203913_s_at	442.6522456997	10.0600872991	9.3125159156	17.3231633622
203973_s_at	161.5696842697	49.273853357	25.7432107529	9520.6196332013
204039_at	277.0788656248	44.1930895793	38.8481858509	19007.2489950016
204112_s_at	14.3486535116	4.8909835737	14.6306477843	4848.0266765434
204201_s_at	51.6625398875	2706.6624829014	39.5646603147	128.0942812617
204409_s_at	20.6367096646	26.8748852033	6149.3610058205	2423.3246365233
204410_at	9.3577172523	13.3231685646	1572.2970700688	665.1118310817
204445_s_at	34.7155247787	11.8810685058	1255.3894895358	122.41368665
204446_s_at	60.197182039	64.3948237251	4090.5806717186	316.9501368904
204463_s_at	2.6261117914	315.3366380897	3.720584534	6.3409306884
204466_s_at	168.5548206229	3688.0907888009	16.6287800579	146.4197488904
204497_at	134.0760372827	5.0885282023	11.3973260804	2832.1295468397
204517_at	93.6961623653	101.4182393668	76.574425896	7992.2988809369
204518_s_at	11.4427800367	12.4156433039	14.842950502	3083.5532760745
204548_at	4.9783755984	31.5469570724	9.4522390682	959.4221562281
204561_x_at	41.4870261374	36.7927057626	47.8421739077	14580.3246406511
204562_at	123.1261829863	12605.2507981074	730.7937612656	872.5097371984
204614_at	17.9075795379	1983.4053103428	10.0290994296	9895.0345092584
204655_at	42.2049501582	5801.4859627293	153.681338343	1238.0857076796
204661_at	157.3606360857	13.4223348789	6863.3448339228	206.3614664417
204698_at	24.6002224877	201.2193303795	5367.7258340678	11.295775148
204749_at	10.1537770873	1432.1364906947	12.6206871766	322.3327276916
204882_at	30.8399526735	7.5649084246	1144.4552114767	267.8093503583
204890_s_at	9396.2363797101	112.4980204322	491.5793572128	69.7229754152
204891_s_at	15602.9072398523	11.639491413	550.2448726546	11.2484625088
204959_at	49.4991210741	367.4925814338	105.6275483779	8376.0065524866
204961_s_at	10.3182641675	214.0340179728	4355.5540345254	360.8575910848
204971_at	50.6702649251	43.2673441103	76.9927988881	12710.4822435165
205000_at	39.8973153678	20.4343727734	3726.3056723791	3277.153931125
205124_at	44.587546665	69.5955946764	2090.3690297766	11.6141242266
205131_x_at	280.8532906983	86.2925485615	115.7657701105	8948.0362911917
205280_at	548.3601124381	2.7054934722	2.0894754247	191.3484681876
205297_s_at	116.8593786445	750.7081625393	8229.0971688267	231.5015414646
205382_s_at	407.9363241992	12.8654126721	14.2655866303	6766.1320351974
205403_at	16.539780657	38.4324633188	2163.2875225462	23.0018341209
205453_at	34.6800836417	839.2789235608	20.9887288447	32.4423650171
205456_at	3974.9774859545	96.6914278102	82.1069261405	33.5147215355
205476_at	6.371853722	611.2883654148	10.7418252426	13.4645576123
205498_at	39.6135545278	4257.8475517525	33.4956378689	159.512606487
205544_s_at	17.6330156943	8910.8542227442	8904.3255451005	152.7141121957
205569_at	638.925538219	2750.9312132238	19.5492011814	76.0779208867
205573_s_at	4.7059368757	39.0410805472	3.361239319	898.0994804606
205612_at	5.3762454825	1195.4709777773	24.7390845092	17.4455818661
205671_s_at	71.968269389	262.8338663868	2570.5370475579	41.1490483486
205681_at	56.1607315163	10850.3321339342	4401.0374452964	220.3599733277
205692_s_at	103.9590368972	20.8853501388	5192.591525518	2963.3771646839
205715_at	137.9074379569	5.8717438077	11.4288642074	2327.127354453
205801_s_at	14.5318633498	313.8287215223	2760.3625343255	46.8063272941
205848_at	1353.8352977274	180.4854839054	31.4951585073	6.9862989958
205861_at	114.5014873537	366.0516293832	8876.7651883115	406.8915995254
205890_s_at	10.300803361	4918.0584000925	14.3860594596	12.8724126075
205902_at	7.1951607235	7.8181664861	895.4184707159	6.8518318796
205903_s_at	5.9718655412	9.4172090694	1769.6637364812	10.7794074795
205922_at	6.5143937416	179.1714796498	1160.6997560303	6.3909845825
205945_at	10.2095333786	47.8479699186	20.074421681	6494.2130990541
205997_at	8.2081928184	7.2936804342	406.9440979498	5.4372359843
206023_at	4.3645259805	7.8928709297	5236.0891692856	28.6011691077
206045_s_at	5.3850941179	467.0866853719	3.3433891244	11.5791385575
206070_s_at	3121.2033008323	598.5540471858	3.2803491493	22.0665132365
206082_at	8.9925231211	1326.7577049262	284.260574171	35.8461666028
206100_at	26.1344605755	5.6611169408	6.4454630333	1928.153244243
206111_at	105.273405019	141.8182744575	60.9905877623	24270.0866588838
206120_at	11.9823950759	27.8129535718	20.964628942	1292.2422611791
206126_at	8.6744891342	15.5869770581	1050.958496607	38.2132667754
206150_at	104.753414737	138.5657450134	9354.2325828958	106.4673587359
206206_at	28.7696122601	48.6392519536	1792.3100441966	57.1082892284
206255_at	9.8182778869	1229.4953690043	2267.0090875889	39.6833077686
206271_at	17.6467207243	1376.5755306729	11.228913	80.0511600663
206277_at	14.556359201	10.8789490905	8.2716101295	2453.8300108681
206283_s_at	5905.7409372375	43.8966347279	60.823802629	64.4498954916
206307_s_at	133.8797122039	18.280676495	32.7124825714	8354.3776673282
206310_at	35.5228582107	38.2718081519	753.6594378345	14.1465836917
206480_at	11.3806723954	8.6448739697	17.2189332316	854.4120332907
206513_at	46.5492662155	146.1054338843	3587.5102202692	63.6023003706
206545_at	690.0034201598	37.476642165	29.4521523244	33.4525982166
206546_at	936.4794458599	13.25885321	32.9275661803	19.687340208
206609_at	53.2834988964	2558.8695636609	22.9779928845	201.9263199275
206618_at	10.4378770545	1531.1979002146	11.0317692098	16.4167371212
206624_at	2.6038764357	7.7640263586	353.6572158932	21.1990697218
206640_x_at	517.3469522135	3385.5188247885	13.068135337	90.3268289632
206727_at	368.1706087459	5.3579039767	6.7066389312	5.4483793414
206759_at	10.4943658957	7417.7200915431	941.8004372569	300.4484594601
206760_s_at	14.6991684287	6037.0433382438	682.0424445346	32.9137426124
206804_at	5436.4486676279	23.3240623135	59.7461774858	29.5020432986
206871_at	10.5313410782	16.6238901996	17.8055091769	29692.8510942173
206975_at	9.9271861725	2634.9883576655	828.5642055273	21.5995860626
206978_at	80.2817033109	65.3237670754	57.6827311653	6125.8128495421
207015_s_at	839.7037748486	24.972906781	39.6590459603	21.1265498976
207016_s_at	3246.6988715047	19.6194631325	25.893886723	27.2637745442
207039_at	21.7684061888	214.155159604	1335.3113851094	20.1965752208
207245_at	7.0102058203	1043.6499241003	46.2516115125	10.2844794299
207250_at	901.4046695693	31.6951891186	21.0070558141	16.3010430712
