Probeset_ID	Gene_Title	Gene_Symbol	ENTREZ_GENE_ID	RefSeq_Transcript_ID
1367452_at	SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae)	Sumo2	690244	NM_133594
1367453_at	cell division cycle 37 homolog (S. cerevisiae)	Cdc37	114562	NM_053743
1367454_at	coatomer protein complex, subunit beta 2 (beta prime)	Copb2	60384	NM_021765
1367455_at	valosin-containing protein	Vcp	116643	NM_053864
1367456_at	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	Ube2d3	81920	NM_031237
1367457_at	beclin 1, autophagy related	Becn1	114558	NM_001034117 /// NM_053739
1367458_at	lysophospholipase 2	Lypla2	83510	NM_031342
1367459_at	ADP-ribosylation factor 1	Arf1	64310	NM_022518
1367460_at	GDP dissociation inhibitor 2	Gdi2	29662	NM_017276
1367461_at	coatomer protein complex, subunit beta 1	Copb1	114023	NM_080781
1367462_at	calpain, small subunit 1	Capns1	29156	NM_017118
1367463_at	prohibitin 2	Phb2	114766	NM_001013035
1367464_at	poly-U binding splicing factor 60	Puf60	84401	NM_001191880 /// XM_001057313 /// XM_001070780 /// XM_001071005 /// XM_343268
1367465_at	defender against cell death 1	Dad1	192275	NM_138910
1367466_at	PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)	Prpf8	287530	NM_001191590 /// XM_001080695 /// XM_002724519 /// XM_002727776 /// XM_213385
1367467_at	iron-sulfur cluster scaffold homolog (E. coli)	Iscu	288740	NM_001105936
1367468_at	SCAN domain-containing 1	Scand1	362252	NM_001108599
1367469_at	eukaryotic translation initiation factor 4, gamma 2	Eif4g2	361628	NM_001017374
1367470_at	SAR1 homolog A (S. cerevisiae)	Sar1a	361842	NM_001007739
1367471_at	polymerase (RNA) II (DNA directed) polypeptide E	Polr2e	690966	NM_001109614
1367472_at	ubiquitin-like modifier activating enzyme 1	Uba1	314432	NM_001014080
1367473_at	translocase of outer mitochondrial membrane 22 homolog (yeast)	Tomm22	300075	NM_212514
1367474_at	SEC24 related gene family, member C (S. cerevisiae)	Sec24c	685144	NM_001109456
1367475_at	cell division cycle 42 (GTP binding protein)	Cdc42	64465	NM_171994
1367476_at	signal recognition particle 14	Srp14	296076	NM_001106497
1367477_at	mitochondrial ribosomal protein L53	Mrpl53	362388	NM_001108635
1367478_at	HtrA serine peptidase 2	Htra2	297376	NM_001106599
1367479_at	NOP10 ribonucleoprotein homolog (yeast)	Nop10	691534	NM_001126100
1367480_at	eukaryotic translation initiation factor 4A, isoform 3	Eif4a3	688288	NM_001100158
1367481_at	vacuolar protein sorting 28 homolog (S. cerevisiae)	Vps28	300052	NM_001130492
1367482_at	anaphase promoting complex subunit 11	Anapc11	498030	NM_001126082
1367483_at	similar to RIKEN cDNA 3110001D03	RGD1309148	298147	XM_001067663 /// XM_216433
10306074488442_ a/t/   u b i q u i t i n - p r o t e i n   l i g a s e   a c t i v i t y   / /   n o t   r e c o r d e d   / / /   0 0 1 6 8 7 4   / /   l i g a s e   a c t i v i t y   / /   i n f e r r e d   f r o m   e l e c t r o n i c   a n n o t a t i o n   / / /   0 0 1 6 8 8 1   / /   a c i d - a m i n o   a c i d   l i g a s e   a c t i v i t y   / /   i n f e r r e d   f r o m   e l e c t r o n i c   a n n o t a t i o n   / / /   0 0 1 9 7 8 7   / /   s m a l l   c o n j u g a t i n g   p r o t e i n   l i g a s e   a c t i v i t y   / /   i n f e r r e d   f r o m   e l e c t r o n i c   a n n o t a t i o n   / / /   0 0 4 2 2 9 6   / /   I S G 1 5   l i g a s e   a c t i v i t y   / /   n o t   r e c o r d e d	ubiquitin-conjugating enzyme E2E 1-like /// ubiquitin-conjugating enzyme E2E 2 (UBC4/5 homolog, yeast)	LOC100366017 /// Ube2e2	100366017	/// 361013
1367485_at	transcription elongation factor A (SII) 1	Tcea1	362479	NM_001025735
1367486_at	ADP-ribosylation factor GTPase activating protein 2	Arfgap2	362162	NM_001033707
1367487_at	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3	B4galt3	494342	NM_001009539
1367488_at	ankyrin repeat domain 17	Ankrd17	289521	NM_001105999
1367489_at			NaN	
1367490_at	similar to defective SPErmatogenesis family member (spe-39)	LOC681989	681989	NM_001101004
1367491_at	apoptosis inhibitor 5	Api5	362170	NM_001127379
1367492_at	DnaJ (Hsp40) homolog, subfamily C, member 8	Dnajc8	313035	NM_001013168
1367493_at	similar to DNA segment, Chr 18, Wayne State University 98, expressed	RGD1560212	498890	NM_001077676
1367494_at	similar to CGI-35 protein	RGD1310899	299198	NM_001044235
