	Liver	Brain	Lung
1367452_at	9.7102291163	10.7114173933	10.7310418533
1367453_at	9.4182980957	9.6528631197	9.180587257
1367454_at	9.974032203	9.035506046	9.6985993277
1367455_at	10.79273089	10.0663281067	10.2272088567
1367456_at	10.9012790033	10.19420744	10.85797279
1367457_at	8.467292642	9.0303004013	8.8676626767
1367458_at	7.7769168823	7.1750014573	7.0801069763
1367459_at	11.1707192867	11.53177224	11.6609176467
1367460_at	10.9737744733	11.14141107	11.64639688
1367461_at	9.7152051477	8.7634721653	9.4405790677
1367462_at	9.198391479	10.4636313233	10.24155053
1367463_at	10.3827811967	9.1614299267	9.2824780673
1367464_at	8.8920830893	9.2516768257	9.140099076
1367465_at	9.5461268127	9.218982704	9.448938774
1367466_at	9.8768884367	9.821193485	9.979620688
1367467_at	10.6357714467	10.1923899767	10.06272953
1367468_at	9.2050236773	8.0277406017	8.64832532
1367469_at	11.13116405	11.3920317833	11.8676000267
1367470_at	10.09948311	9.7871905497	10.2568096767
1367471_at	8.6091072703	8.3229573387	9.0025936667
1367472_at	9.019000902	9.505963545	9.2002381497
1367473_at	9.1967992353	9.1054743843	9.123102285
1367474_at	8.869302262	7.800979156	8.4796163533
1367475_at	9.8405991683	10.23223723	11.2157439867
1367476_at	10.5008302733	11.0910170167	10.8791390367
1367477_at	9.8032927093	9.4251463413	9.4617708463
1367478_at	7.6706063977	7.8547978113	8.014553578
1367479_at	10.2722383933	10.4356365867	9.9174024687
1367480_at	8.8740497827	8.849859407	9.402287544
1367481_at	9.1257747913	9.350140419	9.945394675
1367482_at	9.186742159	8.971550669	8.776381745
1367483_at	8.7212528693	8.117020692	8.0145713893
1367484_at	9.3335691183	9.8921087493	9.9598198523
1367485_at	9.97964254	9.9844702933	10.3146009267
1367486_at	8.9017801783	7.793072376	8.1655645013
1367487_at	7.5576899267	7.5974547413	7.7496750963
1367488_at	7.932277876	8.5520987257	8.1336028797
1367489_at	6.0228389183	6.856711471	6.5161734143
1367490_at	7.4920543617	7.680072124	7.3495056777
1367491_at	9.1745093313	8.469009297	8.8660632257
1367492_at	8.651687073	9.3927401493	9.5644932977
1367493_at	9.0595003667	8.888635679	8.8742112523
1367494_at	9.5314060317	9.2092033587	9.572744099
1367495_at	7.40976095	8.040774762	7.934002842
1367496_at	10.6409370833	10.1498463067	10.81737941
1367497_at	8.1869423887	8.7865296737	8.46216775
1367498_at	8.462775877	8.5014553793	8.6855673813
1367499_at	7.604675509	7.008218073	7.2674266487
1367500_at	9.7964294203	9.546917971	9.9960205813
1367501_at	8.4420380353	8.1991369997	7.7954829123
1367502_at	8.3262666513	7.8471633963	7.765936991
1367503_at	10.2252663967	9.636115491	9.936948806
1367504_at	7.9794813073	8.0095990763	7.773912538
1367505_at	8.4121165327	8.503895987	8.1228294743
1367506_at	9.2512937077	8.5255510257	8.2404405263
1367507_at	7.010904647	5.9735569857	6.426700527
1367508_at	8.584554514	7.8345186507	7.749292726
1367509_at	9.227979712	9.6227595423	9.2440114597
1367510_at	9.3601143757	9.2887498267	8.8617528257
1367511_at	8.2306585727	7.5174645117	8.421592164
1367512_at	10.6928516367	11.3735507133	11.51483826
1367513_at	7.8797470327	7.622137149	7.8389279863
1367514_at	7.354847569	7.061663632	7.367380709
1367515_at	8.032138352	9.077877734	8.44700052
1367516_at	8.3281330893	8.3237950653	7.5993976167
1367517_at	7.8522750587	7.418341969	8.1650564337
1367518_at	8.082650144	8.9962806793	7.9545755837
1367519_at	8.4499433417	8.755616903	8.463552668
1367520_at	9.3209178347	8.9807754477	8.8631584527
1367521_at	6.6217635763	6.5255820583	6.9394769263
1367522_at	8.3152536787	8.1469413993	8.071434545
1367523_at	8.31688739	9.0111934587	8.7289450787
1367524_at	7.2324849893	6.3107560943	6.9078131613
1367525_at	8.8585287013	8.923143011	9.4933095723
1367526_at	8.967083783	8.6812449457	8.3966827737
1367527_at	8.179446711	7.728486132	7.5494804827
1367528_at	8.388842088	8.0303984273	8.5670526513
1367529_at	8.7171502087	7.9697958087	8.1402305967
1367530_at	8.2635883147	9.1459664133	8.434148982
1367531_at	9.6847626057	10.3538238033	10.2422271267
1367532_at	10.6200740433	10.5105329567	11.3544896033
1367533_at	8.723811763	9.5070607687	8.6260111523
1367534_at	8.115189705	8.929297863	9.0813239687
1367535_at	7.8035917163	7.4391355233	7.3096763323
1367536_at	7.838492165	6.9392297163	7.3307383323
1367537_at	7.440566547	7.532371457	7.682128683
1367538_at	8.1652694507	9.2040091963	9.3209773247
1367539_at	8.480044934	8.582397545	9.096444013
1367540_at	7.5398611423	6.8685344327	7.523847672
1367541_at	8.3251364517	8.0967787367	7.7076969107
1367542_at	8.075938286	7.4492240113	8.4195638573
1367543_at	8.387548218	7.741268478	8.095486543
1367544_at	6.9647951017	7.2703511117	7.480616746
1367545_at	7.4840157083	8.281825343	8.351017266
1367546_at	9.697077221	9.1060054337	9.3627127793
1367547_at	8.1942126233	9.1217468983	8.9780216253
1367548_at	7.844839577	7.620068798	7.4182646247
1367549_a_at	10.2443443133	11.21867904	10.65285707
1367550_a_at	8.287293846	8.4116446423	8.4756703217
1367551_a_at	9.294704985	8.6497463827	9.1495201637
1367552_at	4.115488013	3.7268542357	3.6901112177
1367553_x_at	12.2500426433	11.3726589067	13.58906359
1367554_at	3.8217312653	3.060880313	3.1700612623
1367555_at	14.3077150733	12.2116963	5.072940393
1367556_s_at	14.14604945	10.5070801533	4.5467474047
1367557_s_at	11.9620840367	13.00200778	11.0794301467
1367558_x_at	2.6904456113	2.46206037	2.5199590603
1367559_at	11.7461101867	9.7287657927	11.63409336
1367560_at	11.54149541	10.94329207	12.3546260667
1367561_at	11.73118855	11.5151594933	12.37512426
1367562_at	7.4252141117	9.126121857	11.2976646767
1367563_at	8.6420706927	10.3896159867	12.3495722233
1367564_at	5.743591653	6.1557328883	5.6892269527
1367565_a_at	12.8900404067	13.37474596	13.4948080233
1367566_at	3.853376545	3.732846564	14.04376375
1367567_at	11.4116828567	11.5209384067	12.0165343233
1367568_a_at	8.3751820373	8.019919401	12.8682520867
1367569_at	11.0907882633	10.7496721233	11.75483923
1367570_at	6.5357503043	7.2653309543	11.2240770267
1367571_a_at	5.1202965847	8.5591840117	5.2672253717
1367572_at	5.305374996	4.075974548	5.4550216233
1367573_at	12.06111034	12.1288437867	12.7446275033
1367574_at	7.6552916207	8.7472383933	11.82980929
1367575_at	10.77309801	11.17343619	9.7100278617
1367576_at	13.2305819333	9.7036819333	12.1868519533
1367577_at	7.298191947	7.0620005517	10.8691657133
1367578_at	9.6379677113	10.8852788933	10.1942626567
1367579_a_at	9.8802021703	12.6064240433	12.0833768067
1367580_at	10.9654230033	10.5461684267	11.7328456867
1367581_a_at	6.8899633693	8.2976430967	7.0792598607
1367582_at	11.1385349267	11.3044380267	12.02946724
1367583_at	12.79671374	12.4334518	13.0737353333
1367584_at	7.3818411763	7.7351256163	11.85308714
1367585_a_at	10.0620271767	11.0231580633	10.16731918
1367586_at	12.1329002567	10.50380254	10.5742239733
1367587_at	3.0069755353	2.5703756	2.6728344137
1367588_a_at	11.04407103	11.3987491	12.2393459633
1367589_at	8.9810535047	10.40424201	9.1963307087
1367590_at	10.3421004	11.0163066833	10.44538586
1367591_at	10.07506623	9.314631619	9.0489609203
1367592_at	3.9713063213	5.3407800747	7.505472514
1367593_at	8.2688201347	10.3942939933	8.3942356187
1367594_at	8.303251668	5.811267311	9.6168535883
1367595_s_at	12.9949250767	11.1189751833	13.28462131
1367596_at	11.84230018	11.8057118467	12.62798916
1367597_at	11.4987348733	11.79058287	12.50164172
1367598_at	13.3273740833	13.0904023033	4.5131109453
1367599_at	11.6011206067	11.0083503333	9.9918713317
1367600_at	5.6005945207	4.6225106727	7.6746360027
1367601_at	7.6732856807	8.1900502207	8.214947603
1367602_at	8.478087415	9.054713813	9.080558363
1367603_at	10.92650715	11.89611121	9.3238986527
1367604_at	10.56233011	9.128093813	11.52583168
1367605_at	9.847897673	9.139503158	10.8939645533
1367606_at	12.0977888367	12.20031666	12.86794506
1367607_at	11.45966021	12.0457087333	11.27071034
1367608_at	4.4210479257	4.019049135	3.9284899503
1367609_at	10.39743221	10.90748057	9.2474926943
1367610_at	11.7970995033	12.2743283033	12.7005045633
1367611_at	5.136108053	5.5357185367	4.9424665987
