	d4Lin-_1	d4Lin-_2
1007_s_at	39.8417367406	42.7142676701
1053_at	304.6271444203	207.1118739257
117_at	34.0124650245	44.5990279115
121_at	206.1864450786	222.3026991221
1255_g_at	13.8636939414	12.4535077577
1294_at	406.0542844676	495.1990707163
1316_at	106.1057548208	97.1561768052
1320_at	27.6188795161	28.3505095704
1405_i_at	28.9124288939	204.311416674
1431_at	16.3707507054	16.4719376959
1438_at	41.8713223217	42.084484154
1487_at	176.5446774804	180.6595855988
1494_f_at	40.5195227476	45.8568824107
1598_g_at	206.0284130455	320.7495236434
160020_at	97.9623574637	120.0297946609
1729_at	164.2384739106	186.744877768
177_at	70.1928093515	57.7303358733
1773_at	43.7412988337	41.440133399
179_at	206.7577649279	239.5112884026
1861_at	58.6209977785	47.1536289516
200000_s_at	887.2698646629	732.5286151278
200001_at	541.7680124637	596.7181051838
200002_at	5082.8540005088	5568.2290606884
200003_s_at	9152.799860692	7193.7577382594
200004_at	8915.571951007	7819.0574509677
200005_at	1549.5689504389	1675.0687384699
200006_at	8665.3111629315	8058.0230466227
200007_at	5008.9331048486	5250.6855536002
200008_s_at	336.1964499261	227.3234014707
200009_at	6812.620164653	8153.719332486
200010_at	4212.3491859559	3868.1857263482
200011_s_at	933.8820692527	1990.3780699232
200012_x_at	11494.6511478777	10179.3478574985
200013_at	3783.7699402687	4054.3149583908
200014_s_at	4305.5426807286	5032.2634596551
200015_s_at	3681.2984554335	4984.5770835823
200016_x_at	17004.2649137293	14748.767083366
200017_at	8809.8348467238	6831.0652093286
200018_at	12151.8984988142	10511.6363717202
200019_s_at	10038.6540648818	9056.7038140045
200020_at	3530.3260290426	5047.1028177008
200021_at	14943.749936169	14392.1969821664
200022_at	6550.0151097527	6050.7313756967
200023_s_at	6343.0802518012	3993.4707048285
200024_at	5768.2972406336	4165.8104662683
200025_s_at	14436.4242820253	11698.16746487
200026_at	10743.8118495097	9605.8483187673
200027_at	5429.6843229909	4857.7747106627
200028_s_at	2510.820809867	2492.4277288259
200029_at	8485.9452736937	7056.3891014814
200030_s_at	5972.5347216209	5644.535587194
200031_s_at	19897.6131050476	13195.9463773266
200032_s_at	15308.2162839642	12082.7390493878
200033_at	4657.0535396615	5124.7699519901
200034_s_at	14087.219475745	12681.0291356054
200035_at	450.4026176341	798.9281918854
200036_s_at	6806.9798497749	3842.9069565511
200037_s_at	6469.6047442235	5197.1757215563
