	BASO	CMP	EOS	ERY	GMP	GRAN	HSC	MEGA	MEP	MONO	PREB
1007_s_at	36.851699	21.626526	31.077612	30.536591	31.726104	40.172516	34.430086	32.523419	28.334764	32.166122	28.316408
1053_at	45.761675	55.257011	39.145305	51.408193	56.298361	60.679078	56.738225	43.006212	52.712706	53.034105	44.660041
117_at	35.367629	26.645577	26.838643	27.068471	35.733369	49.903786	26.644026	34.069463	23.928137	65.938758	33.939967
121_at	30.737639	22.894992	27.956066	29.184448	29.940931	31.121329	30.39212	31.53095	28.378366	33.05881	27.509055
1255_g_at	21.796764	21.428457	19.630003	20.473222	21.029045	21.428572	21.072218	21.078267	20.495124	19.919807	20.745652
1294_at	35.46069	37.824794	25.814072	31.84587	35.803019	50.17782	65.480996	36.609512	36.458036	44.821277	37.285147
1316_at	46.484773	47.271817	43.58834	48.219321	49.607221	43.411365	43.693644	52.111619	46.785471	48.954997	51.513376
1320_at	25.52824	31.984354	24.54663	25.273971	29.144852	28.251947	29.519303	27.497708	28.897573	27.189801	27.992253
1405_i_at	315.013043	515.109216	857.783972	848.812265	626.58818	1133.886957	479.058346	532.777921	459.395073	454.173745	389.527375
1431_at	34.621385	33.55617	26.982953	27.388517	27.418556	26.985241	28.139342	32.566684	30.771401	29.245299	39.464352
1438_at	33.554789	36.003183	30.864457	32.481535	31.297272	31.099266	32.657709	31.123573	31.177047	35.208454	35.652372
1487_at	32.272062	17.082378	25.804789	21.655603	31.574253	46.38417	23.990771	31.502563	23.064284	49.110508	29.679378
1494_f_at	23.621354	31.07356	27.245023	27.988159	26.30205	28.382722	27.86472	23.709412	28.113018	26.593947	26.678041
1598_g_at	24.867869	13.304885	21.327231	16.650739	20.293844	24.07382	19.937206	22.477895	16.225746	28.302964	20.440157
160020_at	29.003339	19.911084	26.390411	26.454478	25.239551	29.684278	29.011532	28.321545	24.55713	28.439465	25.932317
1729_at	26.17926	19.479358	24.056772	22.133861	23.808306	39.334362	27.48796	25.530458	21.386845	33.190074	22.289946
177_at	28.002324	39.104592	22.613533	31.988149	39.635656	28.872866	25.163227	30.478851	43.516428	33.761675	32.685291
1773_at	23.56084	21.233126	21.382805	22.504028	21.692895	23.651853	23.316267	24.412463	22.160414	24.483338	22.250952
179_at	19.033098	19.252008	16.958314	19.344798	20.022734	22.781382	21.77506	18.993972	19.332165	19.961785	19.864377
1861_at	21.526313	21.067662	20.878298	19.630032	21.634853	23.889028	21.629316	22.685774	21.273016	21.590532	21.689059
200000_s_at	50.378269	60.20651	51.208161	80.220022	70.880428	101.043142	111.707731	65.908678	89.088433	81.588017	63.701072
200001_at	100.607017	54.427897	113.347714	229.723925	184.396055	367.189124	349.13489	155.48504	168.554707	412.12436	73.513985
200002_at	557.589224	1005.154845	486.192928	764.235803	592.207986	688.368772	1012.143622	616.398562	1122.60174	684.794125	590.122426
200003_s_at	1999.537302	3136.914087	1342.765252	1733.915309	2535.04673	2143.898956	2876.988001	2094.944512	2784.926298	2538.465062	3527.741717
200004_at	1453.349873	1612.913932	1226.954931	2203.607633	1626.640999	2243.37707	1995.94697	2306.268676	1893.487286	2509.846621	1477.540221
200005_at	223.761763	201.053383	203.76461	236.589893	248.172976	375.697463	525.312674	265.964278	419.481777	412.202062	214.144332
200006_at	558.018455	369.047772	610.772202	648.549259	512.944242	719.520183	907.213747	887.447706	834.989052	1027.004585	315.086994
200007_at	741.181081	1300.774166	737.209705	1785.836058	1024.544525	1145.588555	1584.490022	1123.598627	1297.973936	1486.671335	926.538541
200008_s_at	290.714018	98.676443	254.497099	207.858609	260.110864	455.931906	403.415438	194.520296	352.505902	685.971033	157.423545
200009_at	3364.178748	4252.035693	2983.361023	3033.877762	4653.315347	4332.840463	3957.02273	3416.629499	4395.003913	4548.63552	4437.244868
200010_at	1316.864502	2118.795989	1215.932612	1608.042957	1442.419706	1723.676573	2537.676301	1450.144805	2193.750862	2112.948442	1251.166861
200011_s_at	332.503257	184.88954	397.951724	386.898727	617.517908	753.580827	690.832613	635.170242	599.542193	1017.963738	80.653872
200012_x_at	2716.657688	3747.269089	2113.453457	3660.207508	3047.195403	3446.970301	3693.203151	3195.247882	3403.880416	3528.541759	3367.239642
200013_at	3306.19499	4406.05932	2509.274784	3247.110485	3873.935445	3520.784112	3897.303962	3677.346815	3878.625392	3771.258662	4792.172567
