	Lin-_1	Lin-_2	MNC_1	MNC_2
1007_s_at	72.1192419794	87.113088213	149.6971573225	139.9313548403
1053_at	568.0228546568	563.8422999079	319.5432233293	321.2807844407
117_at	93.6954174602	82.5143218956	2595.5670599478	2470.0348426646
121_at	105.7251517993	93.6998221965	82.9518926284	79.2029490685
1255_g_at	14.241506073	12.8664075354	12.3656748098	13.636214486
1294_at	1343.6068165375	1227.761071643	833.033367012	845.0191513652
1316_at	106.6466777646	116.0870131121	109.8460830595	104.3272736768
1320_at	42.1482298837	48.7133426719	53.7045382237	49.5514580275
1405_i_at	415.6860302696	393.790603895	1044.5641539205	977.8675207482
1431_at	101.4577858931	104.0387889787	47.0083792623	50.9688076145
1438_at	44.8956719576	34.096349137	47.8711202427	53.5780322658
1487_at	205.9496051653	215.5268409907	294.1234225697	278.7144565545
1494_f_at	28.1046217986	25.6256574035	32.6009856174	24.8936138026
1598_g_at	119.6536008727	126.8173719808	172.5761730608	173.6581176348
160020_at	64.5030266695	70.4511792765	92.1257341858	79.3014974871
1729_at	169.8238910498	188.4121045308	254.2981985851	275.3774374106
177_at	101.5506264078	89.7840948651	98.0211216794	109.2845949626
1773_at	71.0494162849	81.5070052059	82.0828507017	81.6680505034
179_at	142.2731033925	144.5538265294	147.2762395645	141.0676264371
1861_at	149.9001055234	150.2554510176	126.3596460187	133.0107302744
200000_s_at	1654.1458299964	1603.7532153382	883.6813935879	911.7660203779
200001_at	3127.7491694431	2941.5338499708	2651.1729173374	2381.1578495773
200002_at	14519.3277739638	14227.1146187235	8480.0631583585	7353.3159692467
200003_s_at	18167.0823739631	16768.1439704611	13693.1871988274	12312.6621199798
200004_at	5488.4898087163	5265.0173806994	5717.0596809296	4787.8022942384
200005_at	8042.8147385852	7705.0247830106	4838.7420690448	4323.6864157083
200006_at	6211.1130269747	6093.6880371206	4246.5502288282	3557.3623998707
200007_at	7392.732793917	7602.5022478254	6716.3833991629	5781.5349942178
200008_s_at	2057.7690680083	1998.2512128132	1588.4462097479	1487.4966712292
200009_at	10222.5815804386	9845.1073542732	9861.5553138958	8726.1163020037
200010_at	15745.5476498066	14905.3686932392	12592.553650389	11651.623050341
200011_s_at	1485.9262058129	1451.7888086866	1449.7515529759	1209.7457042031
200012_x_at	19956.6890208022	19109.7342975529	19883.4291175897	19230.2824013556
200013_at	16117.4146370827	14884.3162351451	13194.6337104647	11533.1184194205
200014_s_at	5496.22502958	5024.2185057012	4646.3475403658	3949.3418155512
200015_s_at	4196.1943383278	3998.2868196462	3384.3142151242	2920.7969632883
200016_x_at	22407.9701536633	22325.8428010597	16274.0059034155	14378.3918844749
200017_at	14317.1111964314	13753.2084282017	11966.3131932103	10974.315583463
200018_at	15673.8505892834	16878.6508436253	15680.7970834507	14177.6136835678
200019_s_at	18679.2696359621	18189.8233882392	16906.4657655592	15439.4792497748
200020_at	4429.148191657	4242.6353438362	3222.1678958784	2748.8734452141
200021_at	7883.6975244824	7059.0059337552	9107.2400238135	8255.1349450326
200022_at	21430.988165621	20493.3528812118	16950.0287417783	15676.7800574828
200023_s_at	14206.7316415575	13744.4108717899	10055.9688904774	9201.2507166492
200024_at	16772.9202115801	16430.4328121729	11242.3311200879	9932.172818645
200025_s_at	18009.8270500613	17513.4124834753	18894.0420179033	17692.8710423872
200026_at	18155.1526473518	17424.3725221068	16223.7915364791	14182.1338565662
200027_at	2723.0062336721	2574.5688681227	2573.5848840584	2073.5591024526
200028_s_at	8510.4588313956	8010.073893003	6430.1298000105	5593.0214935157
200029_at	23924.8869690382	23203.0124786432	20945.5288096635	20682.2470757225
200030_s_at	9187.0730828656	9130.1504825537	6035.451639717	5400.945804378
200031_s_at	26050.8852628333	24153.5658554823	22780.0022880789	21650.5982263383
200032_s_at	16809.565809675	16088.0847789974	15050.3698329487	14647.0838337437
200033_at	10060.6463837426	9821.4336189645	12247.1406518194	10965.343601678
200034_s_at	19466.1407658706	19042.1812232198	17054.2262920583	16196.6861771103
200035_at	703.5240068673	730.617551028	700.229425974	700.7968664249
200036_s_at	16802.8341091432	16300.7741007309	11292.9075419431	10176.3748428066
200037_s_at	3507.6292257355	3368.5967657864	2236.69451277	1890.2822179188
200038_s_at	26286.0446213606	26338.5511632457	24850.1152859568	23903.0423753176
200039_s_at	2336.0050893036	2201.9908554013	1105.4890923993	1102.2258261354
200040_at	7352.9685393349	6775.4381717061	4287.0426369187	3886.2559306157
200041_s_at	13220.6202049068	12743.9684839656	10282.1117066939	9185.745474361
200042_at	1995.4530987009	1861.1979996321	914.3744787128	935.0946987659
200043_at	1545.2513185248	1630.2642292284	1122.7693969444	1084.0634266638
200044_at	3853.7987750841	3775.7834745204	3217.4528431134	2770.8714775246
200045_at	908.9063768265	942.6904986056	644.161662181	640.4189116781
200046_at	2699.1660974313	2392.8295855842	1815.0151556447	1608.8235517403
200047_s_at	3031.6972983212	2709.5457541296	3056.134958918	2439.3365370136
200048_s_at	2669.0678011054	2423.9917078749	2573.8101765381	2349.0919264364
200049_at	810.3341864556	867.6183666536	683.1281916117	647.8441573919
200050_at	1634.0975622093	1594.5978924001	995.6065574182	846.0921402666
200051_at	1140.8816037425	1020.4036059807	1012.580979207	938.0678795107
200052_s_at	3860.3993804901	3618.0636305443	1305.4982448546	1203.5453043263
200053_at	1010.2056205595	916.0264236051	638.1460111204	624.6087273678
200054_at	722.9998879975	793.5935030144	503.0301973069	431.6978925215
200055_at	1935.5814366205	1995.0604790469	2515.3751652581	2231.8667685902
200056_s_at	313.2684277381	335.0700335467	459.9569665174	424.3762404962
200057_s_at	8883.8047157415	8037.2386048412	6224.0541629529	5109.6899535316
200058_s_at	2506.0704728095	2375.0369448974	1650.4595710467	1502.6616589468
200059_s_at	4332.9612693673	4155.1487397624	6205.5871957475	5530.3686083529
200060_s_at	2446.5080519244	2273.1942073856	1355.2434860987	1200.2385313987
200061_s_at	18167.261627714	16883.119018933	14183.1059830041	13494.3951565005
200062_s_at	23883.4780611769	23253.5211891574	23100.6050639657	22457.1543567421
200063_s_at	15783.458938766	14557.4499186908	10914.5689119905	9832.010944042
200064_at	12807.7166422444	12782.6460777174	4228.8022593451	3664.6780249687
200065_s_at	4096.4067428954	4096.521447836	5304.5113774021	4524.7178451189
200066_at	3625.5472453562	3255.2543115241	3090.8184833684	2870.4944633661
200067_x_at	2805.7112994064	2523.4425185806	4508.4332309474	3531.6042251873
200068_s_at	8191.0808256294	7467.7841475654	6279.9705732492	5508.5392028345
200069_at	575.5251748274	509.1593373391	411.469295757	415.7203276472
200070_at	1356.5174782208	1319.169774697	2414.164297192	1936.739676317
200071_at	1897.678935863	1795.2493782773	2189.2765055533	1895.1437884656
200072_s_at	2237.7723464659	1982.3183124552	1055.1118273303	1110.9173894107
200073_s_at	4083.179603127	3621.8191066576	3434.1521207794	2869.1822951198
200074_s_at	17570.778447994	16596.1876965683	12991.0770061944	12187.729083516
200075_s_at	1398.3604333881	1298.701124233	2266.0435188385	2136.4950344534
200076_s_at	711.3956490154	708.7881226102	624.5439285192	602.901201244
200077_s_at	9373.8631336626	8816.7273991595	13521.6979174493	12681.8249138391
200078_s_at	924.7707053426	916.2168706083	2728.9042591845	2502.3176081542
200079_s_at	2930.7428069727	2958.7470427893	1596.3855591999	1435.8839736373
200080_s_at	12559.907899059	12387.7204360573	17207.9205021626	15666.2909749362
200081_s_at	18676.5769724726	18073.8851211201	17470.577212114	16178.1479279541
200082_s_at	12780.0294696672	12362.222910738	9362.187171811	8610.3181417964
200083_at	3274.1612145834	2892.6280143638	1891.3774239677	1543.7933168909
200084_at	1173.5105837002	1080.0900781076	1105.3400419262	981.4945426191
200085_s_at	3779.9798445318	3441.530433963	3531.2148445031	3093.800391955
200086_s_at	3757.0142953588	3517.82762604	3156.1348501986	2792.5382663952
200087_s_at	4428.6261237861	4378.0809427719	4276.0205202226	3630.301336326
200088_x_at	19832.5851682618	19573.7092663602	16191.5736793094	15244.2780076119
200089_s_at	21923.3946283349	21623.8447156534	18632.5811783796	17770.3790607284
200090_at	3871.8810992321	3619.1621786241	3657.5409225336	3094.7550409755
200091_s_at	13266.8829405342	12018.9331162926	12087.9873630039	10939.1591832439
200092_s_at	26946.0897088251	26897.0236216542	26811.0788256133	25698.1565498662
200093_s_at	9430.6919414273	8733.6213242812	4937.0333100116	4238.3698660888
200094_s_at	16181.1906623654	15365.4184988461	12529.8637225694	11129.6955092614
200095_x_at	26787.5460225566	26397.1601980663	24421.1714297907	22959.6029293735
200096_s_at	2541.0675578257	2314.934528901	5015.3040407224	4405.7961859608
200097_s_at	6092.2813291271	5961.1296946322	6152.0564239537	5057.0253892043
200098_s_at	4933.4562099474	4787.5961325401	3496.9417373615	2995.3920322502
200099_s_at	25670.5539453887	26200.4332565186	25215.4111837501	24717.6732570905
200593_s_at	4800.4536422132	4159.6616825314	3523.1114628642	3123.4679150556
200594_x_at	7889.6308258736	6997.1775053851	6418.1029139901	5219.4361982559
200595_s_at	6288.2834831221	5630.1795943427	4365.7164320444	3461.3685229439
200596_s_at	1045.1214594305	966.18906748	480.8082797646	507.3349966841
200597_at	1248.2640644305	1198.6987457096	711.3308842942	665.9771700113
200598_s_at	944.6552117517	887.8272203343	554.9711263412	566.8741291714
200599_s_at	3950.3404271346	3441.4582248852	2493.0686945243	2301.3831288437
200600_at	3633.5692813305	3343.0097775445	5866.8925490828	5124.8691843315
200601_at	660.1190701498	654.4936831439	756.786197877	722.7479323355
200602_at	2045.894961114	1782.5566509572	1798.7057344376	1483.2008793727
200603_at	1468.6358586134	1406.0399932412	3088.8389835538	2348.9353633816
