	BASO	CMP	EOS	ERY	GMP	GRAN	HSC	MEGA	MEP	MONO	PREB
1007_s_at	42.44414	26.53079	35.857097	35.676506	38.413974	45.531165	39.537915	37.669237	33.83656	37.153871	33.34882
1053_at	46.44886	60.68359	40.540356	51.075456	60.242738	61.383252	55.376973	44.197013	58.191471	53.262058	46.806206
117_at	40.318427	32.062931	30.257825	31.255174	41.090698	56.754061	30.585704	39.49039	27.784875	72.246524	39.717818
121_at	35.192908	27.651363	32.157227	34.41315	35.332072	35.395268	35.308956	36.825097	33.699836	38.198279	32.485632
1255_g_at	24.764041	25.290205	22.42462	23.460219	23.789039	24.052742	23.983892	24.015044	23.281489	22.764426	24.345355
1294_at	40.349565	46.231537	30.691513	36.666725	44.106164	58.535729	72.716247	42.598656	44.42894	51.236728	43.773581
1316_at	54.160353	51.962517	47.08749	51.486122	53.367531	46.58763	47.879252	60.331654	51.839259	52.154784	60.94348
1320_at	29.074073	37.91573	28.789996	29.417237	33.820829	32.561893	33.568068	31.60438	34.276348	32.026342	32.922901
1405_i_at	402.032496	794.054268	1058.267722	992.891874	894.008303	1302.642012	465.159715	577.729717	625.222388	501.479472	448.103643
1431_at	39.916522	40.643934	30.907198	31.430333	31.050668	30.46998	31.44631	37.915116	36.03441	33.581034	46.331967
1438_at	39.453396	48.250716	38.055865	40.095023	38.39358	37.305029	39.352276	36.824136	38.403378	43.079746	42.040795
1487_at	34.692857	19.62015	28.04338	23.88507	36.940634	49.249899	26.090936	34.074184	26.454612	51.682607	33.068872
1494_f_at	27.294472	37.56232	31.871514	32.626778	29.841601	32.663849	32.390142	27.575443	32.583877	31.233799	31.945857
1598_g_at	28.241684	16.488507	24.939524	19.952232	24.495963	27.741108	23.631214	25.43907	19.500677	32.61924	23.656802
160020_at	31.720262	23.549473	29.209609	29.430874	29.021945	32.619673	32.531974	31.459452	28.055126	31.412975	29.426515
1729_at	29.007363	23.330264	26.944384	25.195605	28.060347	43.747961	30.447203	28.530152	24.837971	37.345539	25.553799
177_at	33.095474	46.09764	26.629083	37.236954	46.60227	33.732241	29.795009	36.304053	52.353897	38.886306	39.060454
1773_at	26.548527	25.224093	24.363329	25.925453	24.494761	26.748995	26.370491	27.752458	25.420224	28.243699	25.966665
179_at	21.340566	22.83766	19.326416	22.120599	22.646732	25.671629	24.978479	21.52143	22.03745	22.79907	23.111001
1861_at	24.129299	24.622864	23.309234	22.059489	24.248865	26.499305	24.822893	25.723154	24.030483	24.541555	25.283446
200000_s_at	53.928519	67.321685	54.094597	84.52915	79.582029	102.310352	107.636717	70.796989	103.871954	83.550044	70.354036
200001_at	113.077196	69.30253	136.935336	228.556386	257.585534	412.066085	335.141489	173.589932	216.846441	419.485165	83.186221
