	GSM819140	GSM819141	GSM819142	GSM819152	GSM819153	GSM819154
10344620	1.984904188	2.37027839	2.13742883	2.228669508	2.202249811	2.198595294
10344624	3.285769822	3.45633182	3.580840576	3.233864226	3.781268221	3.230173808
10344633	5.491997066	5.212742275	6.441687431	5.769229954	6.051588252	5.311014702
10344637	7.124559914	7.346649635	6.865254655	6.759471078	6.068670975	6.693562222
10344653	2.272793778	2.332565525	2.180008625	2.083242283	2.502974066	2.029029953
10344658	4.06620475	3.726341166	3.61911226	3.936322511	3.642644038	4.336309657
10344674	2.150601319	2.418395516	2.016020239	2.231962441	2.533828871	2.571675492
10344679	2.539512165	3.421444916	3.119419011	2.967456368	2.780892477	2.987519229
10344707	6.139886527	5.663740213	5.710730961	4.75070561	4.115791543	3.918587012
10344713	4.671537164	4.964795953	4.257913831	3.911914749	4.469868823	3.996978154
10344719	4.281398128	3.919763582	3.70529159	2.921242386	2.987675638	2.985911877
10344723	6.292952477	5.502526771	5.905441915	5.332962979	6.069908818	5.76315375
10344725	2.087951257	2.403135874	2.137291318	2.083458681	2.292221203	2.293654017
10344741	4.551896021	4.813150349	3.798052514	5.347235207	5.681540699	4.653581391
10344743	2.129298604	2.236856691	2.447452138	2.431604468	2.521060412	2.650924844
10344750	1.948248677	2.394675393	2.088096076	2.510128203	2.472279238	2.02254689
10344772	2.313009799	2.976094353	2.216367251	2.152779414	2.17833137	2.170140424
10344789	2.464730002	2.651516982	2.435470602	2.223133818	2.562239005	2.244983082
10344837	1.978618677	2.048860592	1.916195756	2.142624953	2.241852678	2.193666045
10344879	2.295634629	1.92551328	1.901541539	2.334388472	2.247675953	1.964357912
10344895	3.303172341	3.071065119	3.890978801	3.421945564	3.643032108	3.517236337
10344897	2.270227385	2.285246249	2.221555465	2.285246249	2.380618007	2.365707962
10344922	5.014050808	3.137071212	3.06894232	3.401724287	3.576015783	3.65003074
10344924	2.264002692	2.033007133	1.67224035	1.975467809	1.711314683	2.254179053
10344929	2.078526811	2.251822646	1.90456078	2.538896603	2.078709349	1.894444646
10344931	9.850880258	9.91902823	9.730236901	9.813132476	9.752218793	9.917705474
10344935	4.856370764	5.736093102	5.578933029	3.553965617	3.48359904	3.245058096
