	ChAT	Cone
10344620	2.16420380266667	2.20983820433333
10344624	3.44098073933333	3.415102085
10344633	5.71547559066667	5.71061096933333
10344637	7.11215473466667	6.50723475833333
10344653	2.26178930933333	2.20508210066667
10344658	3.80388605866667	3.97175873533333
10344674	2.19500569133333	2.445822268
10344679	3.02679203066667	2.91195602466667
10344707	5.83811923366667	4.26169472166667
10344713	4.63141564933333	4.12625390866667
10344719	3.96881776666667	2.96494330033333
10344723	5.90030705433333	5.72200851566667
10344725	2.209459483	2.22311130033333
10344741	4.387699628	5.22745243233333
10344743	2.27120247766667	2.534529908
10344750	2.143673382	2.334984777
10344772	2.501823801	2.167083736
10344789	2.51723919533333	2.34345196833333
10344837	1.98122500833333	2.19271455866667
10344879	2.04089648266667	2.182140779
10344895	3.42173875366667	3.52740466966667
10344897	2.25900969966667	2.343857406
10344922	3.74002144666667	3.54259027
10344924	1.98975005833333	1.980320515
10344929	2.07830341233333	2.17068353266667
10344931	9.83338179633333	9.827685581
10344935	5.39046563166667	3.42754091766667
10344939	2.856892365	3.19694360733333
10344950	2.881131772	3.57507377166667
10344952	3.62775187833333	3.906921332
10344960	6.08845885466667	6.080814324
10344966	1.960735882	2.326859579
10344973	3.18769760533333	3.14072893866667
10344981	1.94718762533333	1.98219539266667
10344990	2.65443538	2.84147385133333
10345007	3.23921995033333	2.742877377
10345016	6.51079596	3.632743977
10345032	2.28652403033333	2.39625146433333
10345037	3.06572581966667	2.78457588033333
10345046	2.01357080833333	2.06516566466667
10345058	5.38610390233333	4.26111610233333
10345065	3.712179116	3.25109222666667
10345074	2.27681664966667	2.99497723633333
10345077	1.900314694	1.77974999066667
10345083	2.151496489	2.18059277966667
10345091	3.26850218766667	2.96429581066667
10345099	3.182735378	3.141540434
10345101	3.930907108	3.8398071
10345141	5.81395695633333	5.57733512666667
10345167	1.99761175666667	2.70285956566667
10345172	4.66038652	3.44234969966667
10345181	1.691481754	1.702254615
10345183	6.39189147033333	6.202718028
10345190	2.62917438733333	2.79437653666667
10345197	1.88687701933333	1.703584095
10345203	2.90573946233333	2.491364601
10345212	3.94291720366667	3.482356737
10345228	2.90070135266667	2.971888132
10345230	2.81482639266667	2.48671940733333
10345241	2.527744967	2.41420706033333
10345357	4.46208717333333	3.91304218333333
10345368	2.09442018366667	2.00012671
10345370	2.66544464366667	2.94385523166667
10345387	1.97135140166667	2.31000436
10345393	2.849248046	2.76866885666667
10345401	2.74445476266667	2.44368692766667
10345404	2.94087527433333	3.031470951
10345411	3.67749510866667	3.85848007033333
10345423	3.21724003966667	3.65697202
10345436	2.27838178466667	2.768117639
10345442	3.657176321	3.196308533
10345445	3.90685699066667	3.335022567
10345457	2.06780272633333	1.89299679766667
10345482	2.35883057133333	2.54151763566667
10345492	2.54581777666667	2.60298793766667
10345504	10.040386537	10.011327685
10345509	2.61749542033333	2.55319692233333
10345529	2.30870701066667	2.42357904633333
10345546	1.96615966166667	2.050757523
10345558	2.14913607966667	2.00797273433333
10345571	2.327515951	2.87575917733333
10345580	2.67998602766667	2.53251835933333
10345608	8.79592799166667	8.06901565666667
10345616	3.55022391233333	3.229894225
10345620	7.77721582433333	7.43242247533333
10345626	3.93473644466667	4.227770129
10345656	2.08621924766667	2.228757955
10345666	6.19755777433333	6.29377686633333
10345675	1.95941255766667	2.10746168033333
10345698	10.6420945633333	10.37461404
10345706	4.33357469133333	3.979550204
10345715	2.066160809	2.16240691533333
10345752	2.435337162	2.61492874
10345762	2.16066032466667	2.19564801866667
10345777	2.30276291066667	2.10070846966667
10345791	2.25857134066667	2.16403242766667
10345807	1.76462211233333	1.923257787
10345824	2.13933772333333	2.066350526
10345840	2.56975772533333	2.65731477333333
10345855	2.149086765	2.36494592466667
10345869	3.17337994033333	3.32283590133333
10345877	2.115273736	2.157410495
10345879	2.642579924	2.81863693033333
10345882	7.05349335966667	6.545722304
10345895	2.42740631533333	2.22754870633333
10345902	2.16845955933333	2.41844596433333
10345904	4.54585618133333	4.403989532
10345909	9.78653285533333	9.52717220466667
10345913	2.942056096	2.75469503566667
10345921	2.34578857566667	2.48468369766667
10345930	3.246045892	2.86409952633333
10345967	2.75531667533333	2.45054349166667
10345981	3.72363541166667	3.88945006833333
10346000	1.68458554133333	1.66883382233333
10346015	3.47629311366667	3.790393068
10346069	2.66855197666667	2.48708800433333
10346074	4.17286503233333	4.683620866
10346105	9.72964469533333	9.552449281
10346107	2.35438693633333	2.34373020066667
10346137	2.93670168666667	2.91231609233333
10346141	2.44011776066667	1.85990638033333
10346146	2.45931691233333	2.599088648
10346150	2.39224293466667	2.94765018333333
10346164	2.53690129866667	2.40860941266667
10346168	1.95244705	2.159957339
10346191	2.52642250533333	3.468427149
10346224	2.44461423033333	2.89780988533333
10346235	4.499922714	4.36341687166667
10346250	2.774206529	2.580784733
10346255	4.082749624	5.28858050066667
10346260	5.851979577	5.60030172733333
10346269	2.35345620033333	2.26009115566667
10346298	6.07507878933333	5.311008698
10346303	9.56902646566667	9.026964828
10346310	7.10758841933333	6.62860571866667
10346321	3.377868346	3.31721507733333
10346323	2.93902111766667	2.86540014966667
10346330	3.633422616	3.36547548033333
10346337	4.17271742233333	4.37846874066667
10346340	5.77165795233333	4.941825226
10346348	2.716578034	2.915120759
10346365	2.39994485433333	2.44664308566667
10346374	2.26386435833333	2.267279812
10346410	2.197980586	2.13835634066667
10346448	2.31355872233333	2.35208096033333
10346485	2.239579794	2.29162254233333
10346523	5.76199749933333	6.22518827633333
10346533	5.16863402666667	6.375422705
10346544	7.14480969033333	6.855106761
10346549	5.80924091066667	6.142298981
10346551	1.994940783	2.363176426
10346564	1.90025713733333	2.02538348533333
10346576	2.936425392	2.84280882433333
10346592	2.65797496066667	2.61865161766667
10346594	2.50441072233333	2.32108915166667
10346607	2.42913062366667	2.45141449733333
10346611	2.018366557	2.25467498733333
10346634	3.29989629866667	3.802764463
10346651	2.84658716566667	3.04391903633333
10346668	2.83885100566667	2.82927205866667
10346678	2.08620995333333	2.415332615
10346695	2.45161459	2.49149839666667
10346747	2.04029233466667	2.49008882366667
10346764	3.09719518266667	2.765740151
10346780	6.32867304333333	5.805638364
10346783	1.89759865166667	1.85910574433333
10346790	2.41557427866667	2.55782860466667
10346799	2.35508733533333	2.862425959
10346808	7.36036401566667	7.73501576233333
10346810	2.48820786033333	2.81105476
10346840	4.090410054	4.22863850233333
10346843	2.463763236	2.52505825566667
10346867	8.554853055	7.903984356
10346878	2.06768890533333	2.12452196433333
10346882	2.86343540366667	2.400826628
10346914	5.45814200433333	5.380489697
10346938	1.81428529233333	1.84742069333333
10346943	4.335131337	4.53474572966667
10346960	1.90845182366667	1.931436158
10346970	2.706097187	2.711758131
10347018	2.165836796	2.216252849
10347033	2.180806647	2.23660869666667
10347036	3.30331287233333	3.85526187033333
10347060	2.87980260166667	3.052968778
10347073	3.00291783666667	3.21823043433333
10347106	4.58479346166667	4.71640419733333
10347117	2.258621422	2.239283657
10347163	1.94589866833333	1.99673899666667
10347188	2.427653221	2.55591412
10347193	2.544149375	2.525408595
10347210	2.50924112966667	2.52449922933333
10347216	8.78850935866667	8.752928949
10347226	3.21382386966667	2.720722088
10347232	4.27647583133333	4.56420908966667
10347254	5.66863879633333	5.573783044
10347273	9.98401929833333	9.713049996
10347277	3.35002677766667	3.70779148066667
10347282	2.50814159166667	2.42147563333333
10347291	2.26268982033333	3.13654787233333
10347297	8.35129148066667	7.89724081366667
10347307	3.87571448033333	4.14609399833333
10347310	3.33257674533333	3.36473506066667
10347324	2.13960684333333	2.260825896
10347335	2.56285817966667	2.56242558666667
10347351	2.48350399133333	2.684142861
10347364	2.36656074733333	2.100087082
10347386	4.49849884233333	3.47444299166667
10347398	2.373544855	2.33970031166667
10347417	5.73861216133333	4.87038765633333
10347427	3.17261986133333	3.040946845
10347460	2.610689545	2.86425324466667
10347481	2.22709695266667	2.52805339366667
10347491	2.97279550166667	3.119833877
10347497	3.77197447633333	3.78531508666667
10347503	3.45942048966667	3.426653679
10347508	4.34414178866667	4.104166239
10347521	5.806544723	5.15408783233333
10347531	4.60125579433333	4.273550209
10347552	7.03992970533333	6.11957991666667
10347564	2.96538088566667	3.126016603
10347583	2.165220554	2.30133052566667
10347593	2.944531691	2.91480073033333
10347639	4.79400225166667	3.629157607
10347650	3.37689191533333	3.52358817
10347662	2.511237888	2.491149917
10347669	4.997502602	4.600678177
10347672	2.64402096066667	2.473057036
10347697	4.56204393233333	3.984020531
