ID	Gene title	Gene symbol	Gene ID	UniGene title	UniGene symbol	UniGene ID	GI	GenBank Accession
1367452_at	small ubiquitin-like modifier 2	Sumo2	690244				210147495	NM_133594
1367453_at	cell division cycle 37	Cdc37	114562				16758569	NM_053743
1367454_at	coatomer protein complex, subunit beta 2 (beta prime)	Copb2	60384				11120715	NM_021765
1367455_at	valosin-containing protein	Vcp	116643				40254739	NM_053864
1367456_at	ubiquitin-conjugating enzyme E2D 3	Ube2d3	81920				13676842	NM_031237
1367457_at	beclin 1, autophagy related	Becn1	114558				77627988	NM_053739
1367458_at	lysophospholipase II	Lypla2	83510				13786177	NM_031342
1367459_at	ADP-ribosylation factor 1	Arf1	64310					
1367460_at	GDP dissociation inhibitor 2	Gdi2	29662				18187400	BM387347
1367461_at	coatomer protein complex, subunit beta 1	Copb1	114023				40254735	NM_080781
1367462_at	calpain, small subunit 1	Capns1	29156				505657	U10861
1367463_at	prohibitin 2	Phb2	114766				3829016	AI235510
1367464_at	poly-U binding splicing factor 60	Puf60	84401				4607439	AI598391
1367465_at	defender against cell death 1	Dad1	192275				3227683	AI013627
1367466_at	pre-mRNA processing factor 8	Prpf8	287530				4250022	AI406518
1367467_at	iron-sulfur cluster assembly enzyme	Iscu	288740				13305110	BG380638
1367468_at	SCAN domain-containing 1	Scand1	362252				18186707	BM386654
1367469_at	eukaryotic translation initiation factor 4, gamma 2	Eif4g2	361628				13889084	BG667162
1367470_at	secretion associated, Ras related GTPase 1A	Sar1a	361842				2938861	AA851321
1367471_at	polymerase (RNA) II (DNA directed) polypeptide E	Polr2e	690966				14926572	BI279090
1367472_at	ubiquitin-like modifier activating enzyme 1	Uba1	314432					
1367473_at	translocase of outer mitochondrial membrane 22 homolog (yeast)	Tomm22	300075				14936738	BI284237
1367474_at	SEC24 family member C	Sec24c	685144				3815200	AI231320
1367475_at	cell division cycle 42	Cdc42	64465				4135270	AI227695
1367476_at	signal recognition particle 14	Srp14	296076				2862949	AA799994
