ID	Gene title	Gene symbol	Gene ID	UniGene title	UniGene symbol	UniGene ID	GI	GenBank Accession
10344614								
10344616								
10344618								
10344620								
10344622	pyruvate dehydrogenase (lipoamide) beta	Pdhb	68263				110227587///63101524	NM_024221///BC094468
10344624	lysophospholipase 1	Lypla1	18777				31543132///15488807	NM_008866///BC013536
10344633	transcription elongation factor A (SII) 1	Tcea1	21399				229094693///229094708///229094713///52789280	NM_011541///NM_001159750///NM_001159751///BC083127
10344637	ATPase, H+ transporting, lysosomal V1 subunit H	Atp6v1h	108664				146149127///14318721	NM_133826///BC009154
10344653	opioid receptor, kappa 1	Oprk1	18387				324120906///348248	NM_011011///L11065
10344658	RB1-inducible coiled-coil 1	Rb1cc1	12421				226693373///18958264///14575597///187956414///74138376///26096875///12860484///26083527	NM_009826///AB070619///AB050017///BC150774///AK165119///AK076550///AK020027///AK033709
10344674	family with sequence similarity 150, member A	Fam150a	620393				307691171	NM_001195732
10344679	suppression of tumorigenicity 18	St18	240690				347659000///110002638	NM_173868///BC118528
10344705								
10344707	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	Pcmtd1	319263				145699128///82571698	NM_183028///BC110360
10344713	S-adenosylhomocysteine hydrolase	Ahcy	269378				262263371///904131	NM_016661///L32836
10344715	uncharacterized LOC102632303	LOC102632303	102632303				26331759	AK036865
10344717								
10344719								
10344721								
10344723	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)	Rrs1	59014				227908778///33416755	NM_021511///BC055925
10344725	alcohol dehydrogenase, iron containing, 1	Adhfe1	76187				237649036///237649037///20072015	NM_175236///NR_027664///BC026584
10344741	heterogeneous nuclear ribonucleoprotein A3	Hnrnpa3	229279				157277968///111599546	NM_053263///BC116251
10344743	RIKEN cDNA 3110035E14 gene	3110035E14Rik	76982				44890496///146198531	BC066997///NM_178399
10344750	serum/glucocorticoid regulated kinase 3	Sgk3	170755				83649758///83649752///83649756///11321320	NM_133220///NM_177547///NM_001037759///AF312007
10344772	minichromosome maintenance domain containing 2	Mcmdc2	240697				183227684	NM_177722
10344789	centrosome and spindle pole associated protein 1	Cspp1	211660				124301209///18043909	NM_026493///BC019581
10344797								
10344799	centrosome and spindle pole associated protein 1	Cspp1	211660				124301209///187956598	NM_026493///BC151042
10344801	centrosome and spindle pole associated protein 1	Cspp1	211660				124301209///187956598	NM_026493///BC151042
10344803	centrosome and spindle pole associated protein 1	Cspp1	211660				124301209///187956598	NM_026493///BC151042
10344805	centrosome and spindle pole associated protein 1	Cspp1	211660				124301209///187956598///222146551	NM_026493///BC151042///FJ008676
10344807	centrosome and spindle pole associated protein 1	Cspp1	211660				124301209///187956598	NM_026493///BC151042
10344809	centrosome and spindle pole associated protein 1	Cspp1	211660				124301209///187956598	NM_026493///BC151042
10344811	centrosome and spindle pole associated protein 1	Cspp1	211660				124301209///187956598	NM_026493///BC151042
10344813	centrosome and spindle pole associated protein 1	Cspp1	211660				124301209///187956598	NM_026493///BC151042
10344815	centrosome and spindle pole associated protein 1	Cspp1	211660				124301209///187956598	NM_026493///BC151042
10344817	centrosome and spindle pole associated protein 1	Cspp1	211660				124301209///187956598	NM_026493///BC151042
10344819	centrosome and spindle pole associated protein 1	Cspp1	211660				124301209///187956598	NM_026493///BC151042
10344821	centrosome and spindle pole associated protein 1	Cspp1	211660				124301209///187956598	NM_026493///BC151042
10344835								
